dataset,suite,model,seed,kind,device,wall_s,budget,split,acc,bacc,logloss,auroc,brier,ece,smece
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,20,id,0.8125,0.8062139851466772,0.3990477144526234,0.8958917376845792,0.12856461856189463,0.00952403423989392,0.012208143257318596
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,20,ood,0.6894498952706427,0.7589647831046278,0.612990242342066,0.8335197230868707,0.20929864784087288,0.29704556825606304,0.29685660710718753
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,30,id,0.8125,0.8062139851466772,0.3990477144526234,0.8958917376845792,0.12856461856189463,0.00952403423989392,0.012208143257318596
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,30,ood,0.6894498952706427,0.7589647831046278,0.612990242342066,0.8335197230868707,0.20929864784087288,0.29704556825606304,0.29685660710718753
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,0,id,0.8115,0.8050365475391301,0.4223462013944878,0.8889179780169837,0.13470188745961376,0.04065866832826287,0.039833115496695604
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,0,ood,0.6796384081137692,0.7388181530800843,0.6444657699898396,0.8220624577450327,0.2166995354583858,0.27977870811130545,0.2820007501519365
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,5,id,0.8151,0.8091450504424115,0.39695001035192456,0.897031774354826,0.12831312376571422,0.016087194512598216,0.017582178579817927
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,5,ood,0.686473376694962,0.7513447879707591,0.6177861256263953,0.8297886591449299,0.21143174989960337,0.28774376647414857,0.2875294287654333
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,10,id,0.8166,0.8113659691404309,0.394687120358726,0.897605213202398,0.12756816649608946,0.011365994016826149,0.015471385924503103
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,10,ood,0.6829456509756366,0.7530363967655865,0.5849365565983474,0.8381647249571778,0.203358083257249,0.28807025462415276,0.2878244335420352
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,20,id,0.8166,0.8113659691404309,0.394687120358726,0.897605213202398,0.12756816649608946,0.011365994016826149,0.015471385924503103
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,20,ood,0.6829456509756366,0.7530363967655865,0.5849365565983474,0.8381647249571778,0.203358083257249,0.28807025462415276,0.2878244335420352
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,30,id,0.8166,0.8113659691404309,0.394687120358726,0.897605213202398,0.12756816649608946,0.011365994016826149,0.015471385924503103
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,30,ood,0.6829456509756366,0.7530363967655865,0.5849365565983474,0.8381647249571778,0.203358083257249,0.28807025462415276,0.2878244335420352
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,0,id,0.8166,0.8104347808757795,0.41109583960422835,0.8926534032293528,0.13109265418873853,0.031846820410154755,0.03115799076140041
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,0,ood,0.7195458053136369,0.7492286745893849,0.5720398170532864,0.8257416684164741,0.18958879744443727,0.25473711800260185,0.25905986640232903
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,5,id,0.8238,0.8175507629640111,0.3860869494625717,0.9026357731176002,0.1239054983473174,0.01174616071097553,0.013468424577295404
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,5,ood,0.7144746995921067,0.7583026764491803,0.5448925231848648,0.8426028906051103,0.18642221909318632,0.2692525073686326,0.2689873141810901
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,10,id,0.8232,0.8178011982364575,0.38608324013357226,0.9027094464251196,0.12379278368359371,0.011934282621741298,0.014268879070730866
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,10,ood,0.7143644581633778,0.7605314697434564,0.5429460253433088,0.8437543665068638,0.18581278368603812,0.2694781530090355,0.2692316643847775
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,20,id,0.8232,0.8178011982364575,0.38608324013357226,0.9027094464251196,0.12379278368359371,0.011934282621741298,0.014268879070730866
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,20,ood,0.7143644581633778,0.7605314697434564,0.5429460253433088,0.8437543665068638,0.18581278368603812,0.2694781530090355,0.2692316643847775
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,30,id,0.8232,0.8178011982364575,0.38608324013357226,0.9027094464251196,0.12379278368359371,0.011934282621741298,0.014268879070730866
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,30,ood,0.7143644581633778,0.7605314697434564,0.5429460253433088,0.8437543665068638,0.18581278368603812,0.2694781530090355,0.2692316643847775
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,0,id,0.8087,0.8033815642784148,0.4125572673821933,0.8929831059425808,0.13174959006519715,0.03451232389248908,0.034622430792302414
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,0,ood,0.6214309337449013,0.7218368158989691,0.786647970566907,0.8181821794474403,0.2608317759187316,0.33784878864455625,0.3394267208918761
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,5,id,0.8137,0.8079543446125165,0.397850574247676,0.8968327816997524,0.12844704373438054,0.016290335281565777,0.016940445773046185
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,5,ood,0.6753389923933414,0.75015613667112,0.5904071934225991,0.8434726667246091,0.20563177263411764,0.29862031756886187,0.2983961591643027
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,10,id,0.8164,0.8103174906285118,0.39811772058129463,0.8987067280118259,0.12762680643392818,0.025157724030688416,0.025141191080250352
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,10,ood,0.6800793738286848,0.7509751491438506,0.5723613329834855,0.8401391231579912,0.19934867948481497,0.29530141558307177,0.29507624302391167
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,20,id,0.8183,0.8125963168104485,0.392921766824037,0.8992542696009307,0.1267048044529553,0.012122784269601101,0.015149457444216273
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,20,ood,0.6768823723955463,0.7496451031412186,0.6021990547273068,0.83407741815067,0.20908159354796912,0.29407626025772143,0.2938545265841419
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,30,id,0.8182,0.812437307790045,0.38948739344258254,0.9009980781691155,0.1255176032256218,0.012090609978139396,0.013594487178927295
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,30,ood,0.6606768823723955,0.7456200971739262,0.6322190260574035,0.835399067641021,0.21980643486640083,0.31054906439799584,0.3103677523718276
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,0,id,0.8055,0.7997175899279221,0.4269577322919673,0.8866337437368432,0.1360938500839733,0.03989686970412731,0.04047539805762218
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,0,ood,0.7203174953147393,0.759738287762705,0.5815785739265613,0.8312730471443014,0.19315254874826812,0.2546050832763424,0.2576575982990132
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,5,id,0.8095,0.8029428622569479,0.4041635177381092,0.8949853300540138,0.12938044912412552,0.025120514355972415,0.025291268592189404
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,5,ood,0.7084114210120163,0.7631570142668922,0.539465975884577,0.8434273511964966,0.1856353675570088,0.2759619309907678,0.2757100171047758
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,10,id,0.8137,0.8074047732920819,0.3986295763926871,0.8961369853019815,0.12825273581085636,0.013253649332374336,0.013190865540586325
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,10,ood,0.7030095910042994,0.7619680424896851,0.5555607306728406,0.8466172567171457,0.1916817599636537,0.2792599822415392,0.27900232610243936
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,20,id,0.8137,0.8074047732920819,0.3986295763926871,0.8961369853019815,0.12825273581085636,0.013253649332374336,0.013190865540586325
